index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID
0,Class2,1704210936.0,Partially_Correct,2,Question_5fgqjSBwTPG7KUV3it6O,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,3,6ae7d356ba998218af82
1,Class2,1704210889.0,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,328,3,6ae7d356ba998218af82
2,Class2,1704210851.0,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_m8vwGkEZc3TSW2xqYUoR,312,2,6ae7d356ba998218af82
3,Class2,1704210551.0,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_5Q4KoXthUuYz3bvrTDFm,0,2,6ae7d356ba998218af82
4,Class2,1704210334.0,Partially_Correct,2,Question_5fgqjSBwTPG7KUV3it6O,Method_gj1NLb4Jn7URf9K2kQPd,324,2,6ae7d356ba998218af82
5,Class2,1704210154.0,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_BXr9AIsPQhwNvyGdZL57,328,3,6ae7d356ba998218af82
6,Class2,1704209713.0,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,732,3,6ae7d356ba998218af82
7,Class2,1704209674.0,Error1,0,Question_5fgqjSBwTPG7KUV3it6O,Method_m8vwGkEZc3TSW2xqYUoR,0,3,6ae7d356ba998218af82
8,Class2,1704209561.0,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_m8vwGkEZc3TSW2xqYUoR,324,2,6ae7d356ba998218af82
9,Class2,1704209373.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,332,3,6ae7d356ba998218af82
10,Class2,1704209334.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,320,2,6ae7d356ba998218af82
11,Class2,1704209298.0,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_BXr9AIsPQhwNvyGdZL57,324,3,6ae7d356ba998218af82
12,Class2,1704209267.0,Error5,0,Question_bumGRTJ0c8p4v5D6eHZa,Method_BXr9AIsPQhwNvyGdZL57,0,--,6ae7d356ba998218af82
